,index,batch,lr,train_loss,train_acc,train_mean_iou,val_loss,val_acc,val_mean_iou,test_loss,test_acc,test_mean_iou
0,40,20,0.01,0.11984680593013763,0.9514773488044739,0.8142036199569702,0.10329588502645493,0.9588958621025085,0.8523635864257812,0.09660496562719345,0.9637566208839417,0.8388077616691589
1,41,20,0.05,606890.3125,0.5895781517028809,0.33294981718063354,1037855.375,0.9088218808174133,0.5994370579719543,954268.5,0.8993000984191895,0.5240544676780701
2,42,20,0.001,0.03312872350215912,0.9865103363990784,0.9378603100776672,0.04613659530878067,0.983512282371521,0.93228679895401,0.050537608563899994,0.9829510450363159,0.9103462100028992
3,43,20,0.005,0.10121365636587143,0.9597746729850769,0.8411874771118164,0.08488934487104416,0.9710472226142883,0.8942986130714417,0.08314292877912521,0.9693416953086853,0.853827953338623
4,44,20,0.0001,0.047830160707235336,0.9811598658561707,0.9149503111839294,0.05920793116092682,0.9778720736503601,0.910257875919342,0.05774036794900894,0.9787748456001282,0.8960148692131042
5,45,20,0.0005,0.04351004585623741,0.9820441007614136,0.9230930209159851,0.050127238035202026,0.9816873073577881,0.9240273833274841,0.05349527671933174,0.9805687665939331,0.9015870690345764
6,46,20,1e-05,0.09434220939874649,0.9647434949874878,0.8473837971687317,0.08927523344755173,0.9660362601280212,0.8733739256858826,0.09765598922967911,0.9663768410682678,0.8486006855964661
7,47,20,5e-05,0.07135840505361557,0.9718413352966309,0.8791844248771667,0.07566002756357193,0.972785472869873,0.8940257430076599,0.07635119557380676,0.9738578796386719,0.8730829358100891
8,48,20,1e-06,0.2314794510602951,0.920333206653595,0.7035062909126282,0.19468508660793304,0.9299740791320801,0.7516706585884094,0.20349682867527008,0.9319637417793274,0.7179787755012512
9,49,20,5e-06,0.14020639657974243,0.9483256936073303,0.7976398468017578,0.11974626034498215,0.953815221786499,0.8242564797401428,0.1269122064113617,0.9543907046318054,0.7881568074226379
10,50,24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,51,24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,52,24,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,53,24,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,54,24,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,55,24,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,56,24,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,57,24,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,58,24,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,59,24,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,60,28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,61,28,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,62,28,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,63,28,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,64,28,0.0001,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,65,28,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,66,28,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,67,28,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,68,28,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,69,28,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,70,32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,71,32,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
32,72,32,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,73,32,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,74,32,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,75,32,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,76,32,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,77,32,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,78,32,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,79,32,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92
