,loss,val_loss
0,-418571456.0,-229276512.0
1,-779400064.0,-447556416.0
2,-1565407616.0,-990755584.0
3,-3369868800.0,-2342799872.0
4,-7576685056.0,-5858299392.0
5,-17284126720.0,-14749192192.0
6,-39058575360.0,-36003004416.0
7,-86182117376.0,-83743637504.0
8,-184365432832.0,-185828098048.0
9,-380750856192.0,-395276713984.0
10,-754805309440.0,-800933019648.0
11,-1438221336576.0,-1513561653248.0
12,-2639740796928.0,-2750172626944.0
13,-4679276167168.0,-4870773407744.0
14,-8030003396608.0,-8502223831040.0
15,-13375312494592.0,-14284400623616.0
16,-21680978132992.0,-23187737804800.0
17,-34274981969920.0,-36567099899904.0
18,-52963385016320.0,-54965288566784.0
19,-80161428996096.0,-80642146566144.0
20,-119050688528384.0,-117536779665408.0
21,-173790281596928.0,-171036385476608.0
22,-249661046652928.0,-247389109616640.0
23,-353272636375040.0,-356997379653632.0
24,-492807064125440.0,-499311926312960.0
25,-678402835087360.0,-687657348759552.0
26,-922040626315264.0,-948943160606720.0
27,-1237515503665152.0,-1283681436041216.0
28,-1641368325718016.0,-1693547346526208.0
29,-2153253399691264.0,-2246677662531584.0
30,-2796411330494464.0,-2963869152575488.0
31,-3598104288821248.0,-3793778703859712.0
32,-4589435085651968.0,-4913785647136768.0
33,-5804756748468224.0,-6300485631868928.0
34,-7283904830504960.0,-8021166031634432.0
35,-9073099085447168.0,-1.014520667439104e+16
36,-1.1223997232447488e+16,-1.2691226780237824e+16
37,-1.3796377700073472e+16,-1.5739629210697728e+16
38,-1.68550085951488e+16,-1.94196409417728e+16
39,-2.047304824310989e+16,-2.383351440736256e+16
40,-2.473504092769485e+16,-2.903616935428096e+16
41,-2.972977436033024e+16,-3.5024917133000704e+16
42,-3.555876438802432e+16,-4.208418121528115e+16
43,-4.233401516792218e+16,-5.025168429888307e+16
44,-5.017626896813261e+16,-5.991817391846195e+16
45,-5.921971345188454e+16,-7.09801284772823e+16
46,-6.961254217075917e+16,-8.364075146805248e+16
47,-8.151346275627827e+16,-9.849529099825971e+16
48,-9.509426101537997e+16,-1.1501681041525965e+17
49,-1.105552413378478e+17,-1.3342716195975987e+17
50,-1.280872033508393e+17,-1.544752676690985e+17
51,-1.4792013396312064e+17,-1.790053377250427e+17
52,-1.7028914827440947e+17,-2.056300461513769e+17
53,-1.9546286212933222e+17,-2.3727916193939456e+17
54,-2.2369773661506765e+17,-2.716003143212073e+17
55,-2.553084382155899e+17,-3.102524601846989e+17
56,-2.9061332708674765e+17,-3.520278547262341e+17
57,-3.2994588166927155e+17,-4.001002210795192e+17
58,-3.7366136447801754e+17,-4.538542450498601e+17
59,-4.2215099549404365e+17,-5.1208073872461005e+17
60,-4.758436186119209e+17,-5.773274423440179e+17
61,-5.351925418599383e+17,-6.494253747147899e+17
62,-6.00630354344149e+17,-7.288730612809073e+17
63,-6.726464418181284e+17,-8.166475555626025e+17
64,-7.518344374816604e+17,-9.117702234916782e+17
65,-8.386722165759672e+17,-1.0162671901202186e+18
66,-9.337852637782999e+17,-1.1273856219296563e+18
67,-1.0378064167499203e+18,-1.2563100947951124e+18
68,-1.1513494091375575e+18,-1.3935795860374815e+18
69,-1.275212761260884e+18,-1.5399851942729482e+18
70,-1.410005465122734e+18,-1.7019466930181898e+18
71,-1.556451342971568e+18,-1.8751421769423258e+18
72,-1.7155842106154025e+18,-2.067172432489218e+18
73,-1.8881054190338048e+18,-2.2696562948371907e+18
74,-2.0747660721074995e+18,-2.482074382181073e+18
75,-2.2767418226444861e+18,-2.737146511296037e+18
76,-2.494957909679538e+18,-2.9883236204696044e+18
77,-2.7302074934131425e+18,-3.264199609093718e+18
78,-2.9840764819294126e+18,-3.574895756579963e+18
79,-3.2571580617515336e+18,-3.8943294480942367e+18
80,-3.5507779690246963e+18,-4.249839215627469e+18
81,-3.866151713853407e+18,-4.598682094405681e+18
82,-4.204722955004936e+18,-4.988949348638261e+18
83,-4.567601649467523e+18,-5.422728676028449e+18
84,-4.956375217153769e+18,-5.882538941206233e+18
85,-5.372271537673994e+18,-6.370239968089997e+18
86,-5.817061374504731e+18,-6.868738748914336e+18
87,-6.292022360157454e+18,-7.431081771917115e+18
88,-6.798934054201721e+18,-7.997902006268199e+18
89,-7.339427582137336e+18,-8.632028295157776e+18
90,-7.915045009022255e+18,-9.31617631579721e+18
91,-8.528322358425944e+18,-9.9920296207167e+18
92,-9.180590039418012e+18,-1.0755828462695481e+19
93,-9.873746358823813e+18,-1.157266664608655e+19
94,-1.0610062907666334e+19,-1.2418299939497443e+19
95,-1.1391555090759287e+19,-1.3330526254156218e+19
96,-1.2220044798869897e+19,-1.4239353978373538e+19
97,-1.3099345138323292e+19,-1.5273078526924816e+19
98,-1.4029272490677633e+19,-1.6349653242633781e+19
99,-1.5014604233955607e+19,-1.7521927251401114e+19
100,-1.6055982482947834e+19,-1.868197798940246e+19
101,-1.7157416057049186e+19,-1.992695280650997e+19
102,-1.8320890674259427e+19,-2.1350116677038113e+19
103,-1.954887253915966e+19,-2.279128834900597e+19
104,-2.0845324291656385e+19,-2.423228190009013e+19
105,-2.2213391634516673e+19,-2.5836073540829315e+19
106,-2.3653250489600967e+19,-2.753476183113859e+19
107,-2.5171328601885245e+19,-2.9319310984460894e+19
108,-2.6770627638113337e+19,-3.1108183417503613e+19
109,-2.8453045355354784e+19,-3.2978063469234356e+19
110,-3.0221370115097625e+19,-3.4962514831602614e+19
111,-3.2081002718457496e+19,-3.71825057738963e+19
112,-3.4035677106922324e+19,-3.9517384686176305e+19
113,-3.608820583123596e+19,-4.172602207140158e+19
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
