   ,loss                   ,accuracy          ,mean_iou           ,val_loss               ,val_accuracy       ,val_mean_iou
 0 ,0.8085472583770752     ,0.933445930480957 ,0.8773695826530457 ,3.132432539132424e-05  ,0.9999977350234985 ,0.9895822405815125
 1 ,1.7698452836611978e-07 ,1.0               ,1.0                ,2.067212335532531e-06  ,1.0                ,1.0
 2 ,1.4465226172433177e-07 ,1.0               ,1.0                ,8.553267889510607e-07  ,1.0                ,1.0
 3 ,1.4677529236450937e-07 ,1.0               ,1.0                ,8.31317549909727e-07   ,1.0                ,1.0
 4 ,4.46372325768607e-08   ,1.0               ,1.0                ,8.275925438283593e-07  ,1.0                ,1.0
 5 ,2.7654806444843416e-07 ,1.0               ,1.0                ,8.205040558095789e-07  ,1.0                ,1.0
 6 ,1.40517002478191e-07   ,1.0               ,1.0                ,8.074221113929525e-07  ,1.0                ,1.0
 7 ,3.950118099282918e-08  ,1.0               ,1.0                ,8.14258612535923e-07   ,1.0                ,1.0
 8 ,3.1714321835352166e-07 ,1.0               ,0.9965277910232544 ,8.435031304543372e-07  ,1.0                ,1.0
 9 ,4.590868485365718e-08  ,1.0               ,1.0                ,8.642503530609247e-07  ,1.0                ,1.0
10 ,1.0875263711795924e-07 ,1.0               ,1.0                ,8.726540841053065e-07  ,1.0                ,1.0
11 ,2.2629912166394206e-07 ,1.0               ,1.0                ,9.177786068903515e-07  ,1.0                ,1.0
12 ,8.635689852098949e-08  ,1.0               ,1.0                ,9.176073376693239e-07  ,1.0                ,1.0
13 ,5.345025897440792e-07  ,1.0               ,1.0                ,9.386712918058038e-07  ,1.0                ,1.0
14 ,3.370404044744646e-08  ,1.0               ,1.0                ,9.298213399233646e-07  ,1.0                ,1.0
15 ,7.331024676204834e-08  ,1.0               ,1.0                ,9.016797548611066e-07  ,1.0                ,1.0
16 ,5.714597506312202e-08  ,1.0               ,1.0                ,8.880462587512739e-07  ,1.0                ,1.0
17 ,6.092991498007905e-07  ,1.0               ,1.0                ,8.450030009043985e-07  ,1.0                ,1.0
18 ,3.0371811732265996e-08 ,1.0               ,1.0                ,7.72908379076398e-07   ,1.0                ,1.0
19 ,6.110975192541446e-08  ,1.0               ,1.0                ,6.778836336707172e-07  ,1.0                ,1.0
20 ,1.4998951769484847e-07 ,1.0               ,1.0                ,5.963873377368145e-07  ,1.0                ,1.0
21 ,2.755416232957941e-07  ,1.0               ,1.0                ,5.305043941916665e-07  ,1.0                ,1.0
22 ,1.30274386833662e-07   ,1.0               ,1.0                ,4.6316509383359517e-07 ,1.0                ,1.0
23 ,4.2341998351957955e-08 ,1.0               ,1.0                ,3.726466388798144e-07  ,1.0                ,1.0
24 ,2.6425340138303e-08    ,1.0               ,1.0                ,3.08463341980314e-07   ,1.0                ,1.0
25 ,9.210138784965238e-08  ,1.0               ,1.0                ,2.50339240892572e-07   ,1.0                ,1.0
26 ,1.785233365581007e-07  ,1.0               ,1.0                ,2.0161098746029893e-07 ,1.0                ,1.0
27 ,7.734861640074087e-08  ,1.0               ,1.0                ,1.6081105513876537e-07 ,1.0                ,1.0
28 ,1.257904624907269e-08  ,1.0               ,1.0                ,1.2470769661376835e-07 ,1.0                ,1.0
29 ,1.0876780009994036e-07 ,1.0               ,0.9965277910232544 ,1.0267053340839993e-07 ,1.0                ,1.0
30 ,1.665418949414743e-07  ,1.0               ,1.0                ,8.299445397597083e-08  ,1.0                ,1.0
31 ,8.584254374000011e-08  ,1.0               ,1.0                ,7.070382679330578e-08  ,1.0                ,1.0
32 ,8.115579674949913e-08  ,1.0               ,1.0                ,6.652071959933892e-08  ,1.0                ,1.0
33 ,7.376953448101631e-08  ,1.0               ,1.0                ,5.432848837472193e-08  ,1.0                ,1.0
34 ,4.0354372288220475e-08 ,1.0               ,1.0                ,4.491124272476554e-08  ,1.0                ,1.0
35 ,2.5117204316416064e-08 ,1.0               ,1.0                ,3.763956613056507e-08  ,1.0                ,1.0
36 ,2.55109341651405e-07   ,1.0               ,1.0                ,3.50847315644387e-08   ,1.0                ,1.0
37 ,2.944744359467677e-08  ,1.0               ,1.0                ,3.044004515118104e-08  ,1.0                ,1.0
38 ,5.0528324635479294e-08 ,1.0               ,1.0                ,2.695719025780363e-08  ,1.0                ,1.0
39 ,2.4206855187003384e-08 ,1.0               ,1.0                ,2.474690141696101e-08  ,1.0                ,1.0
40 ,1.239818629983347e-07  ,1.0               ,1.0                ,2.2646853281571566e-08 ,1.0                ,1.0
41 ,1.5145122489457208e-08 ,1.0               ,1.0                ,2.0890279728291716e-08 ,1.0                ,1.0
42 ,4.514802398603024e-08  ,1.0               ,0.9965277910232544 ,1.830026619131786e-08  ,1.0                ,1.0
43 ,2.3462389364681258e-08 ,1.0               ,1.0                ,1.7370465954513747e-08 ,1.0                ,1.0
44 ,4.280018117697182e-08  ,1.0               ,1.0                ,1.8046662830784044e-08 ,1.0                ,1.0
